integrador,dias,error_relativo_energia
euler,30850,0.0713252
euler,30900,0.0714088
euler,30950,0.0714935
euler,31000,0.0715791
euler,31050,0.0716657
euler,31100,0.0717531
euler,31150,0.0718414
euler,31200,0.0719305
euler,31250,0.0720203
euler,31300,0.0721107
euler,31350,0.0722018
euler,31400,0.0722934
euler,31450,0.0723861
euler,31500,0.0724813
euler,31550,0.0725796
euler,31600,0.0726751
euler,31650,0.0727682
euler,31700,0.0728606
euler,31750,0.0729526
euler,31800,0.0730441
euler,31850,0.0731351
euler,31900,0.0732254
euler,31950,0.073315
euler,32000,0.0734038
euler,32050,0.0734916
euler,32100,0.0735783
euler,32150,0.073664
euler,32200,0.0737484
euler,32250,0.0738317
euler,32300,0.0739138
euler,32350,0.0739946
euler,32400,0.0740741
euler,32450,0.0741524
euler,32500,0.0742295
euler,32550,0.0743054
euler,32600,0.0743801
euler,32650,0.0744536
euler,32700,0.0745261
euler,32750,0.0745975
euler,32800,0.0746679
euler,32850,0.0747374
euler,32900,0.0748059
euler,32950,0.0748736
euler,33000,0.0749405
euler,33050,0.0750066
euler,33100,0.075072
euler,33150,0.0751368
euler,33200,0.075201
euler,33250,0.0752646
euler,33300,0.0753278
euler,33350,0.0753906
euler,33400,0.075453
euler,33450,0.0755151
euler,33500,0.0755769
euler,33550,0.0756385
euler,33600,0.0756999
euler,33650,0.0757611
euler,33700,0.0758222
euler,33750,0.0758831
euler,33800,0.0759439
euler,33850,0.0760047
euler,33900,0.0760654
euler,33950,0.076126
euler,34000,0.0761866
euler,34050,0.0762472
euler,34100,0.0763078
euler,34150,0.0763685
euler,34200,0.0764293
euler,34250,0.0764901
euler,34300,0.0765512
euler,34350,0.0766124
euler,34400,0.0766739
euler,34450,0.0767356
euler,34500,0.0767977
euler,34550,0.0768602
euler,34600,0.076923
euler,34650,0.0769864
euler,34700,0.0770504
euler,34750,0.0771149
euler,34800,0.0771801
euler,34850,0.0772461
euler,34900,0.0773128
euler,34950,0.0773803
euler,35000,0.0774487
euler,35050,0.077518
euler,35100,0.0775882
euler,35150,0.0776595
euler,35200,0.0777318
euler,35250,0.0778051
euler,35300,0.0778796
euler,35350,0.0779551
euler,35400,0.0780318
euler,35450,0.0781095
euler,35500,0.0781884
euler,35550,0.0782684
euler,35600,0.0783495
euler,35650,0.0784317
euler,35700,0.0785148
euler,35750,0.0785989
euler,35800,0.0786839
euler,35850,0.0787697
euler,35900,0.0788562
euler,35950,0.0789433
euler,36000,0.0790309
euler,36050,0.079119
euler,36100,0.0792073
euler,36150,0.0792959
euler,36200,0.0793846
euler,36250,0.0794734
euler,36300,0.079562
euler,36350,0.0796505
euler,36400,0.0797387
euler,36450,0.0798265
euler,36500,0.0799138
rk4,0,2.80576e-14
rk4,50,1.60151e-11
rk4,100,6.20292e-11
rk4,150,1.0987e-10
rk4,200,1.19223e-10
rk4,250,1.84459e-10
rk4,300,1.55562e-10
rk4,350,2.48991e-10
rk4,400,2.17854e-10
rk4,450,3.11078e-10
rk4,500,3.54271e-10
rk4,550,3.69838e-10
rk4,600,4.32538e-10
rk4,650,4.11187e-10
rk4,700,4.9783e-10
rk4,750,4.54945e-10
rk4,800,5.603e-10
rk4,850,5.96764e-10
rk4,900,6.19754e-10
rk4,950,6.80629e-10
rk4,1000,6.66131e-10
rk4,1050,7.46541e-10
rk4,1100,6.96481e-10
rk4,1150,8.09381e-10
rk4,1200,8.37751e-10
rk4,1250,8.69633e-10
rk4,1300,9.28001e-10
rk4,1350,9.19516e-10
rk4,1400,9.95414e-10
rk4,1450,9.44194e-10
rk4,1500,1.05831e-09
rk4,1550,1.07594e-09
rk4,1600,1.11924e-09
rk4,1650,1.17539e-09
rk4,1700,1.17209e-09
rk4,1750,1.24381e-09
rk4,1800,1.19646e-09
rk4,1850,1.30743e-09
rk4,1900,1.31218e-09
rk4,1950,1.36857e-09
rk4,2000,1.42171e-09
rk4,2050,1.42377e-09
rk4,2100,1.49257e-09
rk4,2150,1.45201e-09
rk4,2200,1.55614e-09
rk4,2250,1.54621e-09
rk4,2300,1.61806e-09
rk4,2350,1.66771e-09
rk4,2400,1.67472e-09
rk4,2450,1.74074e-09
rk4,2500,1.7086e-09
rk4,2550,1.80528e-09
rk4,2600,1.77997e-09
rk4,2650,1.86709e-09
rk4,2700,1.91235e-09
rk4,2750,1.92546e-09
